"indicateur","région","sexe","Unit","Date","Value"
"Nombre de la population","DAKAR","Ensemble","personnes","2013","3137196"
"Nombre de la population","DAKAR","Ensemble","personnes","2014","3233460"
"Nombre de la population","DAKAR","Ensemble","personnes","2015","3330694"
"Nombre de la population","DAKAR","Ensemble","personnes","2016","3429375"
"Nombre de la population","DAKAR","Ensemble","personnes","2017","3529304"
"Nombre de la population","DAKAR","Ensemble","personnes","2018","3630323"
"Nombre de la population","DAKAR","Ensemble","personnes","2019","3732282"
"Nombre de la population","DAKAR","Ensemble","personnes","2020","3835011"
"Nombre de la population","DAKAR","Ensemble","personnes","2021","3938358"
"Nombre de la population","DAKAR","Ensemble","personnes","2022","4042235"
"Nombre de la population","DAKAR","Ensemble","personnes","2023","4146594"
"Nombre de la population","DAKAR","Ensemble","personnes","2024","4251430"
"Nombre de la population","DAKAR","Ensemble","personnes","2025","4356700"
"Nombre de la population","DIOURBEL","Ensemble","personnes","2013","1497455"
"Nombre de la population","DIOURBEL","Ensemble","personnes","2014","1543647"
"Nombre de la population","DIOURBEL","Ensemble","personnes","2015","1591593"
"Nombre de la population","DIOURBEL","Ensemble","personnes","2016","1641349"
"Nombre de la population","DIOURBEL","Ensemble","personnes","2017","1692969"
"Nombre de la population","DIOURBEL","Ensemble","personnes","2018","1746492"
"Nombre de la population","DIOURBEL","Ensemble","personnes","2019","1801999"
"Nombre de la population","DIOURBEL","Ensemble","personnes","2020","1859503"
"Nombre de la population","DIOURBEL","Ensemble","personnes","2021","1919090"
"Nombre de la population","DIOURBEL","Ensemble","personnes","2022","1980831"
"Nombre de la population","DIOURBEL","Ensemble","personnes","2023","2044773"
"Nombre de la population","DIOURBEL","Ensemble","personnes","2024","2111013"
"Nombre de la population","DIOURBEL","Ensemble","personnes","2025","2179598"
"Nombre de la population","FATICK","Ensemble","personnes","2013","714392"
"Nombre de la population","FATICK","Ensemble","personnes","2014","737487"
"Nombre de la population","FATICK","Ensemble","personnes","2015","761713"
"Nombre de la population","FATICK","Ensemble","personnes","2016","787036"
"Nombre de la population","FATICK","Ensemble","personnes","2017","813544"
"Nombre de la population","FATICK","Ensemble","personnes","2018","841298"
"Nombre de la population","FATICK","Ensemble","personnes","2019","870361"
"Nombre de la population","FATICK","Ensemble","personnes","2020","900800"
"Nombre de la population","FATICK","Ensemble","personnes","2021","932629"
"Nombre de la population","FATICK","Ensemble","personnes","2022","965918"
"Nombre de la population","FATICK","Ensemble","personnes","2023","1000679"
"Nombre de la population","FATICK","Ensemble","personnes","2024","1036947"
"Nombre de la population","FATICK","Ensemble","personnes","2025","1074749"
"Nombre de la population","KAFFRINE","Ensemble","personnes","2013","566992"
"Nombre de la population","KAFFRINE","Ensemble","personnes","2014","587946"
"Nombre de la population","KAFFRINE","Ensemble","personnes","2015","609643"
"Nombre de la population","KAFFRINE","Ensemble","personnes","2016","632025"
"Nombre de la population","KAFFRINE","Ensemble","personnes","2017","655119"
"Nombre de la population","KAFFRINE","Ensemble","personnes","2018","678955"
"Nombre de la population","KAFFRINE","Ensemble","personnes","2019","703560"
"Nombre de la population","KAFFRINE","Ensemble","personnes","2020","728951"
"Nombre de la population","KAFFRINE","Ensemble","personnes","2021","755172"
"Nombre de la population","KAFFRINE","Ensemble","personnes","2022","782273"
"Nombre de la population","KAFFRINE","Ensemble","personnes","2023","810308"
"Nombre de la population","KAFFRINE","Ensemble","personnes","2024","839311"
"Nombre de la population","KAFFRINE","Ensemble","personnes","2025","869354"
"Nombre de la population","KAOLACK","Ensemble","personnes","2013","960875"
"Nombre de la population","KAOLACK","Ensemble","personnes","2014","990748"
"Nombre de la population","KAOLACK","Ensemble","personnes","2015","1021657"
"Nombre de la population","KAOLACK","Ensemble","personnes","2016","1053543"
"Nombre de la population","KAOLACK","Ensemble","personnes","2017","1086454"
"Nombre de la population","KAOLACK","Ensemble","personnes","2018","1120402"
"Nombre de la population","KAOLACK","Ensemble","personnes","2019","1155433"
"Nombre de la population","KAOLACK","Ensemble","personnes","2020","1191577"
"Nombre de la population","KAOLACK","Ensemble","personnes","2021","1228746"
"Nombre de la population","KAOLACK","Ensemble","personnes","2022","1267018"
"Nombre de la population","KAOLACK","Ensemble","personnes","2023","1306311"
"Nombre de la population","KAOLACK","Ensemble","personnes","2024","1346613"
"Nombre de la population","KAOLACK","Ensemble","personnes","2025","1388012"
"Nombre de la population","KEDOUGOU","Ensemble","personnes","2013","151357"
"Nombre de la population","KEDOUGOU","Ensemble","personnes","2014","156352"
"Nombre de la population","KEDOUGOU","Ensemble","personnes","2015","161530"
"Nombre de la population","KEDOUGOU","Ensemble","personnes","2016","166902"
"Nombre de la population","KEDOUGOU","Ensemble","personnes","2017","172482"
"Nombre de la population","KEDOUGOU","Ensemble","personnes","2018","178272"
"Nombre de la population","KEDOUGOU","Ensemble","personnes","2019","184276"
"Nombre de la population","KEDOUGOU","Ensemble","personnes","2020","190509"
"Nombre de la population","KEDOUGOU","Ensemble","personnes","2021","196991"
"Nombre de la population","KEDOUGOU","Ensemble","personnes","2022","203719"
"Nombre de la population","KEDOUGOU","Ensemble","personnes","2023","210722"
"Nombre de la population","KEDOUGOU","Ensemble","personnes","2024","217991"
"Nombre de la population","KEDOUGOU","Ensemble","personnes","2025","225547"
"Nombre de la population","LOUGA","Ensemble","personnes","2013","874193"
"Nombre de la population","LOUGA","Ensemble","personnes","2014","898732"
"Nombre de la population","LOUGA","Ensemble","personnes","2015","924047"
"Nombre de la population","LOUGA","Ensemble","personnes","2016","950095"
"Nombre de la population","LOUGA","Ensemble","personnes","2017","976884"
"Nombre de la population","LOUGA","Ensemble","personnes","2018","1004398"
"Nombre de la population","LOUGA","Ensemble","personnes","2019","1032644"
"Nombre de la population","LOUGA","Ensemble","personnes","2020","1061612"
"Nombre de la population","LOUGA","Ensemble","personnes","2021","1091268"
"Nombre de la population","LOUGA","Ensemble","personnes","2022","1121618"
"Nombre de la population","LOUGA","Ensemble","personnes","2023","1152654"
"Nombre de la population","LOUGA","Ensemble","personnes","2024","1184351"
"Nombre de la population","LOUGA","Ensemble","personnes","2025","1216706"
"Nombre de la population","KOLDA","Ensemble","personnes","2013","662455"
"Nombre de la population","KOLDA","Ensemble","personnes","2014","682687"
"Nombre de la population","KOLDA","Ensemble","personnes","2015","703779"
"Nombre de la population","KOLDA","Ensemble","personnes","2016","725682"
"Nombre de la population","KOLDA","Ensemble","personnes","2017","748450"
"Nombre de la population","KOLDA","Ensemble","personnes","2018","772068"
"Nombre de la population","KOLDA","Ensemble","personnes","2019","796581"
"Nombre de la population","KOLDA","Ensemble","personnes","2020","822003"
"Nombre de la population","KOLDA","Ensemble","personnes","2021","848348"
"Nombre de la population","KOLDA","Ensemble","personnes","2022","875663"
"Nombre de la population","KOLDA","Ensemble","personnes","2023","903969"
"Nombre de la population","KOLDA","Ensemble","personnes","2024","933287"
"Nombre de la population","KOLDA","Ensemble","personnes","2025","963628"
"Nombre de la population","MATAM","Ensemble","personnes","2013","562539"
"Nombre de la population","MATAM","Ensemble","personnes","2014","584524"
"Nombre de la population","MATAM","Ensemble","personnes","2015","607231"
"Nombre de la population","MATAM","Ensemble","personnes","2016","630703"
"Nombre de la population","MATAM","Ensemble","personnes","2017","654982"
"Nombre de la population","MATAM","Ensemble","personnes","2018","680087"
"Nombre de la population","MATAM","Ensemble","personnes","2019","706042"
"Nombre de la population","MATAM","Ensemble","personnes","2020","732863"
"Nombre de la population","MATAM","Ensemble","personnes","2021","760588"
"Nombre de la population","MATAM","Ensemble","personnes","2022","789215"
"Nombre de la population","MATAM","Ensemble","personnes","2023","818775"
"Nombre de la population","MATAM","Ensemble","personnes","2024","849273"
"Nombre de la population","MATAM","Ensemble","personnes","2025","880714"
"Nombre de la population","SAINT-LOUIS","Ensemble","personnes","2013","908942"
"Nombre de la population","SAINT-LOUIS","Ensemble","personnes","2014","932876"
"Nombre de la population","SAINT-LOUIS","Ensemble","personnes","2015","957600"
"Nombre de la population","SAINT-LOUIS","Ensemble","personnes","2016","983022"
"Nombre de la population","SAINT-LOUIS","Ensemble","personnes","2017","1009164"
"Nombre de la population","SAINT-LOUIS","Ensemble","personnes","2018","1036003"
"Nombre de la population","SAINT-LOUIS","Ensemble","personnes","2019","1063539"
"Nombre de la population","SAINT-LOUIS","Ensemble","personnes","2020","1091735"
"Nombre de la population","SAINT-LOUIS","Ensemble","personnes","2021","1120585"
"Nombre de la population","SAINT-LOUIS","Ensemble","personnes","2022","1150065"
"Nombre de la population","SAINT-LOUIS","Ensemble","personnes","2023","1180143"
"Nombre de la population","SAINT-LOUIS","Ensemble","personnes","2024","1210806"
"Nombre de la population","SAINT-LOUIS","Ensemble","personnes","2025","1242014"
"Nombre de la population","SEDHIOU","Ensemble","personnes","2013","452994"
"Nombre de la population","SEDHIOU","Ensemble","personnes","2014","468098"
"Nombre de la population","SEDHIOU","Ensemble","personnes","2015","483768"
"Nombre de la population","SEDHIOU","Ensemble","personnes","2016","500061"
"Nombre de la population","SEDHIOU","Ensemble","personnes","2017","517012"
"Nombre de la population","SEDHIOU","Ensemble","personnes","2018","534646"
"Nombre de la population","SEDHIOU","Ensemble","personnes","2019","553006"
"Nombre de la population","SEDHIOU","Ensemble","personnes","2020","572101"
"Nombre de la population","SEDHIOU","Ensemble","personnes","2021","591970"
"Nombre de la population","SEDHIOU","Ensemble","personnes","2022","612650"
"Nombre de la population","SEDHIOU","Ensemble","personnes","2023","634177"
"Nombre de la population","SEDHIOU","Ensemble","personnes","2024","656562"
"Nombre de la population","SEDHIOU","Ensemble","personnes","2025","679840"
"Nombre de la population","TAMBACOUNDA","Ensemble","personnes","2013","681310"
"Nombre de la population","TAMBACOUNDA","Ensemble","personnes","2014","705396"
"Nombre de la population","TAMBACOUNDA","Ensemble","personnes","2015","730475"
"Nombre de la population","TAMBACOUNDA","Ensemble","personnes","2016","756591"
"Nombre de la population","TAMBACOUNDA","Ensemble","personnes","2017","783781"
"Nombre de la population","TAMBACOUNDA","Ensemble","personnes","2018","812075"
"Nombre de la population","TAMBACOUNDA","Ensemble","personnes","2019","841512"
"Nombre de la population","TAMBACOUNDA","Ensemble","personnes","2020","872155"
"Nombre de la population","TAMBACOUNDA","Ensemble","personnes","2021","904032"
"Nombre de la population","TAMBACOUNDA","Ensemble","personnes","2022","937183"
"Nombre de la population","TAMBACOUNDA","Ensemble","personnes","2023","971659"
"Nombre de la population","TAMBACOUNDA","Ensemble","personnes","2024","1007511"
"Nombre de la population","TAMBACOUNDA","Ensemble","personnes","2025","1044784"
"Nombre de la population","THIES","Ensemble","personnes","2013","1788864"
"Nombre de la population","THIES","Ensemble","personnes","2014","1838366"
"Nombre de la population","THIES","Ensemble","personnes","2015","1889320"
"Nombre de la population","THIES","Ensemble","personnes","2016","1941546"
"Nombre de la population","THIES","Ensemble","personnes","2017","1995030"
"Nombre de la population","THIES","Ensemble","personnes","2018","2049765"
"Nombre de la population","THIES","Ensemble","personnes","2019","2105711"
"Nombre de la population","THIES","Ensemble","personnes","2020","2162833"
"Nombre de la population","THIES","Ensemble","personnes","2021","2221097"
"Nombre de la population","THIES","Ensemble","personnes","2022","2280458"
"Nombre de la population","THIES","Ensemble","personnes","2023","2340869"
"Nombre de la population","THIES","Ensemble","personnes","2024","2402262"
"Nombre de la population","THIES","Ensemble","personnes","2025","2464550"
"Nombre de la population","ZIGUINCHOR","Ensemble","personnes","2013","549151"
"Nombre de la population","ZIGUINCHOR","Ensemble","personnes","2014","565940"
"Nombre de la population","ZIGUINCHOR","Ensemble","personnes","2015","583525"
"Nombre de la population","ZIGUINCHOR","Ensemble","personnes","2016","601929"
"Nombre de la population","ZIGUINCHOR","Ensemble","personnes","2017","621171"
"Nombre de la population","ZIGUINCHOR","Ensemble","personnes","2018","641253"
"Nombre de la population","ZIGUINCHOR","Ensemble","personnes","2019","662179"
"Nombre de la population","ZIGUINCHOR","Ensemble","personnes","2020","683955"
"Nombre de la population","ZIGUINCHOR","Ensemble","personnes","2021","706554"
"Nombre de la population","ZIGUINCHOR","Ensemble","personnes","2022","729949"
"Nombre de la population","ZIGUINCHOR","Ensemble","personnes","2023","754110"
"Nombre de la population","ZIGUINCHOR","Ensemble","personnes","2024","778985"
"Nombre de la population","ZIGUINCHOR","Ensemble","personnes","2025","804531"
